清远高品会.威尼斯spa别墅七房九床,整栋别墅,4个卫生间,9张床,7间卧室,最多住15人,1980.0,3
清远市高品会.奥斯卡spa别墅六房8床,整栋别墅,4个卫生间,8张床,6间卧室,最多住12人,1580.0,0
1,普通民宅里的独立房间,1个独立卫生间,1张床,1间卧室,最多住1人,520.0,0
"清远恒大金碧天下独栋别墅,可容纳多人派对或聚会｡麻将ktv烧烤等设备齐全",整栋别墅,2个卫生间,9张床,5间卧室,最多住13人,1880.0,2
"清远恒大金碧天下度假别墅悠然惠墅 适合团体度假 家庭度假 父母度假 空气清新到不吸白不吸,6-8人",整栋别墅,2个卫生间,6张床,3间卧室,最多住8人,1180.0,3
碧桂园清泉城山顶度假别墅,整套公寓,4个卫生间,6张床,4间卧室,最多住11人,880.0,4
风景宜人的豪华独栋五房八床别墅,整套房子,4个卫生间,9张床,5间卧室,16位及更多房客,3680.0,0
"清平村居——客家泥砖房老宅,清净带内花园的大院子",客用套房里的独立房间,1间卫生间,1张床,1间卧室,最多住3人,120.0,7
"迷人的英伦风景区,五星级的舒适洋房",整套公寓,2个卫生间,4张床,3间卧室,最多住6人,353.0,7
羊角山顶的静谧之地,整栋别墅,2个卫生间,4张床,2间卧室,最多住8人,680.0,5
"山景微墅,品质旅行,在佛冈碧桂园清泉城尽享温泉､富氧山居",整套公寓,1间卫生间,2张床,2间卧室,最多住4人,299.0,11
清远佛冈碧桂园清泉城四房七床带KTV温泉豪华半山别墅,整栋别墅,3个卫生间,7张床,4间卧室,最多住12人,898.0,1
"碧桂园清泉城亦家度假温泉别墅温泉KTV四房7床,大露台靓景观麻将烧烤轰趴嗨翻天",整栋别墅,4个卫生间,7张床,4间卧室,最多住12人,980.0,9
田源民宿,普通民宅里的独立房间,3个公共卫生间,5张床,4间卧室,最多住6人,160.0,5
趣墅·清远佛冈清泉城1号半山私家温泉别墅|5房8床|麻将烧烤,整栋别墅,4个卫生间,8张床,5间卧室,最多住15人,1680.0,3
清远高品会.百老汇spa独栋别墅12套房18床14卫,整栋别墅,14个卫生间,16张床,12间卧室,16位及更多房客,3960.0,0
高品号邮轮·利舞台空中K歌spa别墅8房14床,整栋别墅,4个卫生间,14张床,8间卧室,16位及更多房客,2280.0,8
清远高品会·百老汇spa双拼别墅6套房9床7卫,整栋别墅,7个卫生间,9张床,6间卧室,最多住12人,1980.0,2
清远高品会.维也纳spa别墅7房9床,整栋别墅,4个卫生间,9张床,7间卧室,16位及更多房客,1980.0,1
清远高品会.荷里活spa别墅 六房8床,整栋别墅,4个卫生间,8张床,6间卧室,最多住12人,1880.0,2
"趣墅·清远佛冈清泉城5号私家温泉别墅|5房9床|麻将烧烤自助厨房,近森波拉度假区",整栋别墅,3.5个卫生间,9张床,5间卧室,16位及更多房客,1580.0,0
山泉山庄(包别墅),别墅里的独立房间,5个独立卫生间,11张床,7间卧室,16位及更多房客,1888.0,0
山泉山庄(别墅套房),别墅里的独立房间,1个独立卫生间,1张床,1间卧室,最多住2人,388.0,0
农村小镇湖畔人家,普通民宅里的独立房间,1间卫生间,2张床,1间卧室,最多住2人,138.0,0
紫晴雅筑,整套联排别墅,3个卫生间,4张床,4间卧室,最多住8人,1000.0,5
佛冈碧桂园清泉城凤凰温泉度假别墅,整栋别墅,4个卫生间,7张床,4间卧室,最多住12人,1080.0,2
[铭南]望山复式2房公寓/森波拉/观音山/羊角山,整间Loft,1间卫生间,2张床,2间卧室,最多住4人,286.0,3
恒大金碧天下~领寓-非凡,整套公寓,1间卫生间,1张床,1间卧室,最多住2人,188.0,1
清远包别墅英德包别墅,整套房子,5个卫生间,11张床,7间卧室,16位及更多房客,1888.0,1
碧桂园清泉城《高端》山景风情两房一厅,整栋别墅,2个卫生间,2张床,5间卧室,最多住14人,198.0,1
碧桂园清泉城《高级》豪华套房,整间Loft,1间卫生间,2张床,2间卧室,最多住4人,188.0,1
[铭南]美容师之度假精装别墅,整栋别墅,3个卫生间,6张床,4间卧室,最多住8人,888.0,1
"【趣墅】清远佛冈碧桂园清泉城·泰自在半山温泉别墅|花园私家温泉泡池BBQ麻将厨房,近森波拉度假区",整栋别墅,5个卫生间,6张床,5间卧室,最多住10人,1880.0,1
恒大别墅雅典娜景观露台家庭大套房,整套联排别墅,1间卫生间,3张床,1间卧室,最多住4人,688.0,1
恒大金碧天下别墅爱琴海油画大床景观房,联排别墅里的独立房间,1个独立卫生间,1张床,1间卧室,最多住2人,428.0,0
恒大金碧天下生态墅一楼富士山雅室,联排别墅里的独立房间,1个独立卫生间,1张床,1间卧室,最多住2人,328.0,1
恒大金碧生态墅松涛阁双卧室家庭大床套房,联排别墅里的独立房间,1个独立卫生间,2张床,2间卧室,最多住4人,618.0,0
山泉山庄(豪华套房),农家乐里的独立房间,1个独立卫生间,1张床,1间卧室,最多住2人,188.0,2
佛冈碧桂园清泉城妮妮亲子度假房,整套公寓,1间卫生间,1张床,1间卧室,最多住3人,688.0,3
[博雅居]温馨两房一厅 英西峰林/洞天仙境九龙小镇/老虎谷漂流,整套公寓,1间卫生间,2张床,2间卧室,最多住5人,268.0,6
文頭仔屋,整套公寓,2个卫生间,5张床,3间卧室,最多住11人,1280.0,2
"广州北佛冈碧桂园秘密花园湖景房,观景､泡温泉､吃农家菜",度假村里的独立房间,1个独立卫生间,2张床,2间卧室,最多住4人,480.0,0
清远佛冈温泉度假别墅带泡池烧烤麻将KTV乒乓球四房13-1,整栋别墅,3个卫生间,7张床,4间卧室,最多住12人,1080.0,0
碧桂园清泉城鑫飞扬度假别墅,整套房子,4个卫生间,7张床,4间卧室,最多住12人,1280.0,1
高品号邮轮·欢乐今宵spa别墅7房12床,整栋别墅,4个卫生间,12张床,7间卧室,16位及更多房客,2080.0,0
高品号邮轮·空中红馆k歌spa别墅8房16床,整栋别墅,4个卫生间,16张床,8间卧室,16位及更多房客,2380.0,2
高品号邮轮·空中歌剧院spa别墅10房18床,整栋别墅,5个卫生间,18张床,10间卧室,16位及更多房客,2580.0,0
高品号邮轮·欢乐今宵双连幢spa别墅13房20床,整栋别墅,8个卫生间,20张床,13间卧室,16位及更多房客,3660.0,0
高品号邮轮·欢乐今宵利舞台双连幢spa别墅15房26床,整栋别墅,8个卫生间,26张床,15间卧室,16位及更多房客,4360.0,1
高品号邮轮·欢乐今宵利舞台三连幢spa别墅21房34床,整栋别墅,12个卫生间,34张床,21间卧室,16位及更多房客,5940.0,0
佛冈清泉城之家,整套房子,1间卫生间,2张床,2间卧室,最多住4人,500.0,1
清远佛冈温泉度假别墅望湖带私人泡池烧烤麻将KTV4房8-21,整套房子,3个卫生间,8张床,4间卧室,最多住11人,1180.0,2
清远佛冈温泉度假别墅带泡池麻将烧烤KTV4房17-22,整栋别墅,3个卫生间,7张床,4间卧室,最多住11人,1080.0,1
清远佛冈温泉度假别墅带泡池乒乓球KTV5房2-32,整栋别墅,1间卫生间,8张床,5间卧室,16位及更多房客,1480.0,0
"清远恒大七房温泉豪华别墅近新银盏温泉､古龙峡玻璃大峡谷,配日式温泉池､独立KTV房､烧烤炉､电动麻将",整栋别墅,3.5个卫生间,10张床,7间卧室,最多住14人,900.0,14
清远佛冈温泉带麻将近英伦小镇复式微墅2房,整套公寓,1间卫生间,2张床,2间卧室,最多住4人,399.0,3
清远佛冈温泉带泡池独立KTV麻将机独栋别墅4房1-11,整栋别墅,3个卫生间,8张床,4间卧室,最多住12人,899.0,4
"清远恒大五房日式SPA别墅近新银盏温泉古龙峡玻璃大峡谷,配日式SPA浴､KTV设备､烧烤炉､电动麻将",整栋别墅,4个卫生间,6张床,5间卧室,最多住12人,900.0,10
英西别苑标准双人间,农家乐里的独立房间,1间卫生间,2张床,1间卧室,最多住2人,180.0,0
清远英德江景温泉游泳度假式住宅--给你的云海江湾的美好度假生活,整套公寓,2个卫生间,5张床,3间卧室,最多住6人,780.0,4
(森波拉奇妙世界旁4室豪华大床房)佛冈县碧桂园一剪梅度假公寓,整套房子,2个卫生间,4张床,4间卧室,最多住8人,488.0,2
清远佛冈碧桂园清泉城微微温泉美墅带泡池KTV麻将烧烤,整栋别墅,3个卫生间,5张床,4间卧室,最多住10人,889.0,12
佛冈碧桂园温泉度假别墅6房10床+私家温泉池+超大私家花园+私家游泳池,整套房子,4个卫生间,10张床,6间卧室,最多住15人,1680.0,1
佛冈碧桂园清泉城5房7床温泉别墅+私家花园+烧烤+私家温泉,整套房子,3.5个卫生间,7张床,5间卧室,最多住10人,1480.0,0
浪漫满屋〔森波拉对面.佛冈奥园麻将大床房〕,整套公寓,1间卫生间,1张床,1间卧室,最多住2人,188.0,0
佛冈碧桂园清泉城4房5床超豪华4房温泉度假别墅,整栋别墅,3个卫生间,5张床,4间卧室,最多住7人,2788.0,0
清远佛冈碧桂园古典韵味别墅,农家房,4个卫生间,7张床,4间卧室,最多住12人,880.0,0
"浪漫满屋〔佛冈奥园公寓,靠近森波拉.聚龙湾〕",整套酒店式公寓,1间卫生间,2张床,1间卧室,最多住2人,168.0,3
清远佛冈碧桂园清泉城【潮流】超大私家泳池/专业KTV房温泉别墅,整套公寓,7.5个卫生间,14张床,8间卧室,16位及更多房客,2280.0,0
山水间客栈203,住宿加早餐里的独立房间,1个独立卫生间,1张床,1间卧室,最多住2人,128.0,0
清远佛冈碧桂园玉石点缀别墅,整套房子,4个卫生间,8张床,4间卧室,最多住12人,900.0,1
清远佛冈碧桂园清泉城【潮流】独栋欧式私家泳池/独立专业KTV温泉别墅,整套房子,5个卫生间,13张床,7间卧室,16位及更多房客,2180.0,0
碧桂园(潮流)豪华落地玻璃KTV泳池温泉别墅,整栋别墅,3.5个卫生间,11张床,6间卧室,16位及更多房客,1380.0,0
上海人家客栈,精品酒店内的房间,8个独立卫生间,12张床,8间卧室,16位及更多房客,1088.0,1
清远碧桂园清泉城【潮流】4房中式精致温泉别墅,整栋别墅,3个卫生间,7张床,4间卧室,16位及更多房客,980.0,0
清远佛冈【潮流】5房9床私家泳池KTV度假温泉别墅,整栋别墅,4个卫生间,9张床,5间卧室,16位及更多房客,1480.0,0
清远佛冈【潮流】5房9床望湖泳池KTV度假别墅,整栋别墅,4个卫生间,9张床,5间卧室,16位及更多房客,1480.0,0
清远佛冈碧桂园【潮流】田园风格5房8床温泉KTV度假别墅,整栋别墅,4个卫生间,8张床,5间卧室,最多住13人,1180.0,0
(两房两厅)佛冈碧桂园温馨舒适公寓,整套房子,1间卫生间,2张床,2间卧室,最多住4人,318.0,3
佛冈碧桂园清泉城LOFT山居亲子度假房,整套公寓,1间卫生间,2张床,2间卧室,最多住4人,399.0,4
清远佛冈碧桂园落地窗欧式豪华别墅(双温泉泡池､独立KTV包间､私家泳池､娱乐度假聚会),整栋别墅,4个卫生间,11张床,6间卧室,16位及更多房客,1880.0,0
清远佛冈碧桂园(潮流)5房9床雅致温泉别墅【带KTV､私家温泉､麻将､桌球】轰趴,整栋别墅,4个卫生间,9张床,5间卧室,最多住12人,1480.0,0
清远佛冈温泉度假望湖独栋别墅派对好去处(4房8023),整栋别墅,2个卫生间,5张床,4间卧室,最多住9人,999.0,0
【随地游】佛冈碧桂园清泉城4房温泉别墅·烧烤KTV桌球等娱乐,整栋别墅,3个卫生间,7张床,4间卧室,最多住9人,999.0,0
佛冈县碧桂园畅游别墅4房,整套房子,3个卫生间,6张床,4间卧室,最多住10人,1580.0,0
佛冈碧桂园清泉城美居3房公寓,整套酒店式公寓,1间卫生间,3张床,3间卧室,最多住5人,500.0,0
清远佛冈碧桂园蜗牛温泉度假别墅,别墅里的独立房间,3个独立卫生间,7张床,4间卧室,最多住12人,1680.0,0
佛岗碧桂园美式独栋别墅,整栋别墅,3个卫生间,7张床,4间卧室,最多住4人,1980.0,0
佛冈碧桂园7房豪华轰趴温泉度假别墅带温泉池泳池麻将桌烧烤KTV,整栋别墅,3个卫生间,11张床,7间卧室,16位及更多房客,988.0,1
佛冈碧桂园7房豪华轰趴温泉度假别墅带温泉池麻将桌烧烤KTV,整栋别墅,5个卫生间,13张床,7间卧室,16位及更多房客,1380.0,1
碧桂园·清泉城C+温泉度假别墅(配套古典中式家具),整栋别墅,3个卫生间,12张床,5间卧室,最多住14人,1500.0,0
佛冈碧桂园清泉城豪华欧式温泉别墅,整栋别墅,4个卫生间,11张床,6间卧室,16位及更多房客,1880.0,1
"碧湖小筑,集装箱改造的亲水房屋,非一般的野外住宿体验",农家房,1.5个卫生间,4张床,3间卧室,最多住6人,680.0,2
"清远恒大四房温泉别墅近新银盏温泉､古龙峡玻璃大峡谷,配日式温泉池､高级KTV设备､烧烤炉､电动麻将",整栋别墅,3个卫生间,6张床,4间卧室,最多住10人,1150.0,12
佛冈碧桂园四房七床欧式别墅,别墅里的独立房间,3个独立卫生间,7张床,4间卧室,最多住10人,3680.0,3
英德连江口镇豪华江景公寓三房两厅,整套酒店式公寓,2个卫生间,5张床,3间卧室,最多住6人,680.0,2
波罗镇民宿,住宿加早餐里的独立房间,2个独立卫生间,6张床,4间卧室,最多住10人,88.0,0
罗坑大草原精品民宿一号驿站田园牧歌亲水房,别墅里的独立房间,1个独立卫生间,1张床,1间卧室,最多住2人,188.0,0
佛冈雅悦公寓,整套酒店式公寓,1间卫生间,1张床,单间公寓,最多住2人,138.0,0
清远佛冈清泉城养生私家温泉麻将烧烤KTV儿童乐园聚会别墅,整栋别墅,3个卫生间,6张床,4间卧室,最多住11人,999.0,11
探索自然居1,酒店式公寓里的独立房间,1个独立卫生间,2张床,1间卧室,最多住1人,150.0,0
都市驿家,整套公寓,2个卫生间,4张床,4间卧室,最多住8人,528.0,0
清远佛冈温泉欧式豪华带泳池乒乓球桌球投影ktv别墅7房(19-8),整栋别墅,4个卫生间,13张床,7间卧室,16位及更多房客,1780.0,2
清远佛冈温泉带泳池乒乓球泡池独立ktv独栋别墅5房16-20,整栋别墅,3个卫生间,9张床,5间卧室,16位及更多房客,1380.0,1
清远佛冈碧桂园豪华4房轰趴聚会休闲中式别墅,整栋别墅,2个卫生间,7张床,4间卧室,最多住12人,999.0,0
清远佛冈碧桂园豪华欧式4房轰趴聚会休闲度假温泉别墅,整栋别墅,2个卫生间,7张床,4间卧室,最多住11人,1099.0,0
清远佛冈碧桂园豪华8房轰趴聚会休闲度假温泉独栋别墅带ktv麻将桌,整栋别墅,5个卫生间,16张床,8间卧室,16位及更多房客,1788.0,0
清远佛冈碧桂园豪华欧式8房轰趴聚会休闲度假温泉中空别墅带ktv麻将桌,整栋别墅,5个卫生间,14张床,8间卧室,16位及更多房客,1780.0,0
清远佛冈碧桂园豪华中式7房轰趴聚会休闲度假温泉中空别墅带泳池ktv麻将,整栋别墅,5个卫生间,11张床,7间卧室,16位及更多房客,1480.0,1
清远佛冈碧桂园豪华欧式6房轰趴聚会休闲度假温泉别墅带ktv麻将桌,整栋别墅,4个卫生间,11张床,6间卧室,16位及更多房客,1380.0,0
清远佛冈碧桂园豪华欧式7房轰趴聚会休闲度假温泉独栋别墅,整栋别墅,4个卫生间,11张床,7间卧室,16位及更多房客,1480.0,0
清远佛冈碧桂园豪华中式6房轰趴聚会休闲度假温泉别墅带会议室ktv,整栋别墅,4个卫生间,12张床,6间卧室,16位及更多房客,1380.0,0
清远佛冈碧桂园5房望湖别墅梵蒂冈之家(配有KTV､麻将､烧烤和温泉池)8-18,整栋别墅,3个卫生间,6张床,4间卧室,最多住11人,1299.0,0
清远佛冈碧桂园5房望湖别墅梵蒂冈之家(配有麻将､KTV､烧烤和温泉池)8-25,整栋别墅,2个卫生间,6张床,4间卧室,最多住11人,1099.0,1
"房子是我的家,我很爱惜它,希望可以带给你舒适感觉!",小屋,1间卫生间,2张床,2间卧室,最多住2人,268.0,1
清远佛冈碧桂园5房别墅梵蒂冈之家(配有独立KTV房､温泉池､麻将和烧烤)1-8,整栋别墅,2个卫生间,8张床,4间卧室,最多住12人,1099.0,1
"清远恒大金碧天下豪華5房 中空大厅別墅含KTV 碳烧烤, 厨房设备齐｡古龙峡漂流,玻璃栈道景区附近.",整套联排别墅,3个卫生间,10张床,5间卧室,最多住12人,1500.0,4
岭下乡村民宿,整套公寓,1间卫生间,5张床,3间卧室,最多住10人,378.0,0
清远佛冈碧桂园四房别墅梵蒂冈之家(配有麻将､KTV､烧烤､乒乓球和温泉池)9-17,整栋别墅,3个卫生间,7张床,4间卧室,最多住10人,699.0,0
清远佛冈碧桂园欧风复式公寓,整套公寓,1间卫生间,3张床,2间卧室,最多住5人,320.0,0
"清远恒大五房温泉豪华大别墅近新银盏温泉古龙峡玻璃大峡谷,配日式温泉池､KTV设备､烧烤炉､电动麻将桌",整栋别墅,3个卫生间,7张床,5间卧室,最多住12人,1000.0,13
清远恒大好自然2号别墅,整套房子,3个卫生间,6张床,4间卧室,最多住8人,1180.0,1
清远恒大好自然1号别墅,整套房子,3个卫生间,14张床,8间卧室,16位及更多房客,1880.0,3
涯际Cliff Haus - Camping Rock climbing paradise,露营地,8个卫生间,30张床,30间卧室,16位及更多房客,88.0,0
清远恒大养生谷度假房,整套公寓,1间卫生间,2张床,2间卧室,最多住4人,288.0,5
途民•度假别墅★佛冈碧桂园清泉城|羊角山森林闲情山水旅游经济圈 •4房7床别墅|享养生温泉【159】,整栋别墅,4个卫生间,7张床,4间卧室,最多住10人,1180.0,0
