名称,链接,类型,卫生间,床数量,卧室数量,容纳人数,价格,评论数,特色,位置,出行信息,,,,
清远佛冈碧桂园豪华欧式6房轰趴聚会休闲度假温泉别墅带ktv麻将桌,"https://www.airbnb.cn/rooms/25182398?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,4个卫生间,11张床,6间卧室,16位及更多房客,1380,0,"四楼:1间2张1.5床(套房),1间2张1.5床(公卫), (Phone number hidden by Airbnb) 床(公卫)
三楼: (Phone number hidden by Airbnb) 床(两间房是连通的子母房,带洗手间)
二楼:7米中空大厅,饭厅,厨房,自动麻将,台球,前后花园
一楼:1间1张1.5床(公卫),一间独立K房,自动麻将｡",,,,,,
清远佛冈碧桂园豪华欧式7房轰趴聚会休闲度假温泉独栋别墅,"https://www.airbnb.cn/rooms/25186304?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,4个卫生间,11张床,7间卧室,16位及更多房客,1480,0,"一楼一间1.5米大床房,一间1.8米大床房,独立投影KTV(或会议室)
二楼:8米中空客厅,饭厅,厨房,桌球,温泉池,泳池,入户花园,休闲观景台
三楼: 房中房两房互通(一间1.5m三床房+一间1.8m大床房)(带厕所)
四楼:房间1:  1.5m*2床(带厕所) 房间2:  1.5m*2床 房间3:  1.8m*1床
温泉池免费送一池,使用泳池加收300｡",,,,,,
清远佛冈碧桂园豪华中式6房轰趴聚会休闲度假温泉别墅带会议室ktv,"https://www.airbnb.cn/rooms/25186638?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,4个卫生间,12张床,6间卧室,16位及更多房客,1380,0,"一楼独立ktv.  一间1.5三床房｡
二楼8米中空大厅,后花园 (Website hidden by Airbnb) 三楼一间房中房(一间1.8双床房,一间1.2双床房)四楼一间1.5单床房,一间1.5双床房,一间1.2双床房,观景露台",,,,,,
清远佛冈碧桂园5房望湖别墅梵蒂冈之家(配有KTV､麻将､烧烤和温泉池)8-18,"https://www.airbnb.cn/rooms/25303298?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,3个卫生间,6张床,4间卧室,最多住11人,1299,0,"走京广澳高速,佛冈出口后五公里直达,有管家指引进入｡酒店依山傍水,周边有温泉､漂流､英伦小镇和农庄等旅游景点,五分钟可到达森波拉温泉和森波拉奇妙世界,稍远点有聚龙湾温泉和金龟池温泉,碧桂园内有温泉谷｡别墅附近还有超市､商业街､购物广场和医院｡别墅配有私人温泉池､麻将､电烧烤炉和KTV｡厨房可供使用,有厨具(需自备碗筷和调料);管家提供配送服务｡",,,,,,
清远佛冈碧桂园5房望湖别墅梵蒂冈之家(配有麻将､KTV､烧烤和温泉池)8-25,"https://www.airbnb.cn/rooms/25385415?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,2个卫生间,6张床,4间卧室,最多住11人,1099,1,"走京广澳高速,佛冈出口后五公里直达,有管家指引进入｡酒店依山傍水,周边有温泉､漂流､英伦小镇和农庄等旅游景点,五分钟可到达森波拉温泉和森波拉奇妙世界,稍远点有聚龙湾温泉和金龟池温泉,碧桂园内有温泉谷｡别墅附近还有超市､商业街､购物广场和医院｡别墅配有私人温泉池､麻将､电烧烤炉和KTV｡厨房可供使用,有厨具(需自备碗筷和调料);管家提供配送服务｡",,,,,,
"房子是我的家,我很爱惜它,希望可以带给你舒适感觉!","https://www.airbnb.cn/rooms/25460723?s=lL8DwLxp&guests=1&adults=1
",小屋,1间卫生间,2张床,2间卧室,最多住2人,268,1,"房子在高速公路路口,佛冈四通八达｡门口有公交车,想去哪里而我有空可以免费接送,如果我没空也可以提供出租车电话!嘻嘻~","小区楼下有泳池,附近都有特色农家乐!","楼下有收费停车场,门口有公交车!",,,,
清远佛冈碧桂园5房别墅梵蒂冈之家(配有独立KTV房､温泉池､麻将和烧烤)1-8,"https://www.airbnb.cn/rooms/25566080?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,2个卫生间,8张床,4间卧室,最多住12人,1099,1,"走京广澳高速,佛冈出口后五公里直达,有管家指引进入｡酒店依山傍水,周边有温泉､漂流､英伦小镇和农庄等旅游景点,五分钟可到达森波拉温泉和森波拉奇妙世界,稍远点有聚龙湾温泉和金龟池温泉,碧桂园内有温泉谷｡别墅附近还有超市､商业街､购物广场和医院｡别墅配有私人温泉池､麻将､电烧烤炉和独立KTV房｡厨房可供使用,有厨具(需自备碗筷和调料);管家提供配送服务｡",,,,,,
"清远恒大金碧天下豪華5房 中空大厅別墅含KTV 碳烧烤, 厨房设备齐｡古龙峡漂流,玻璃栈道景区附近.","https://www.airbnb.cn/rooms/25760168?s=lL8DwLxp&guests=1&adults=1
",整套联排别墅,3个卫生间,10张床,5间卧室,最多住12人,1500,4,"別墅位於有廣東省清遠市內,既方便晚上又安靜｡小區生活機能完善,有便利店､古寺､景觀公園､生態旅遊度假區｡一走進別墅,映入眼簾的是明亮舒適的挑高客廳,共備有10張溫韾的床鋪,3間乾淨的衛浴,有一個觀景陽台､獨立KTV房､露天泡池, 適合多個家族攜帶食材在此一同享受大自然的家族樂｡可以在這清新自然的土地上享受舒適清幽的住宿環境｡附近有知名的美食､古寺､自然景觀､濕地公園及道地小吃,都十分方便｡","此区为广东省清远市龙颈镇｡西边有镇安古寺､足球学校,北边为江氏宗祠,东边恒大金碧天下风景区､CS真人对抗赛馆,往南为太和谷洞､玄真古洞生态区､笔架山森林瀑布､水上乐园､清新公园｡

著名旅游景点:
古龙峡漂流开车约15分钟
清泉湾漂流开车约15分钟
笔架山森林瀑布开车约15分钟
黄腾峡漂流开车约25分钟","开车3分钟就是清连高速,走路10分钟之内有超市｡

别墅附有免费停车位,可停6~8台车｡",,,,
岭下乡村民宿,"https://www.airbnb.cn/rooms/25800702?s=lL8DwLxp&guests=1&adults=1
",整套公寓,1间卫生间,5张床,3间卧室,最多住10人,378,0,,,,,,,
清远佛冈碧桂园四房别墅梵蒂冈之家(配有麻将､KTV､烧烤､乒乓球和温泉池)9-17,"https://www.airbnb.cn/rooms/25813415?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,3个卫生间,7张床,4间卧室,最多住10人,699,0,"走京广澳高速,佛冈出口后五公里直达,有管家指引进入｡酒店依山傍水,周边有温泉､漂流､英伦小镇和农庄等旅游景点,五分钟可到达森波拉温泉和森波拉奇妙世界,稍远点有聚龙湾温泉和金龟池温泉,碧桂园内有温泉谷｡别墅附近还有超市､商业街､购物广场和医院｡别墅配有私人温泉池､麻将､电烧烤炉和KTV｡厨房可供使用,有厨具(需自备碗筷和调料);管家提供配送服务｡",,,,,,
清远佛冈碧桂园欧风复式公寓,"https://www.airbnb.cn/rooms/25817652?s=lL8DwLxp&guests=1&adults=1
",整套公寓,1间卫生间,3张床,2间卧室,最多住5人,320,0,"复式公寓带欧式装修风格｡
Ps:小房没有空调哦^_^
•周边配套丰富,有购物广场,超市,商业街,医院等｡出碧桂园大道5分钟左右有一大片农庄,具有特色的臭屁醋,三斤鸡等推荐尝试哦~
碧桂园清泉城内有温泉谷,需买票｡附近有英伦小镇,都是一些欧式建筑,可以拍拍照~5分钟左右车程可达森波拉温泉,森波拉奇妙世界,稍远还有龙门温泉,金龟池｡
•走京广澳高速佛冈出口5公里直达碧桂园清泉城,到佛冈镇中心15-20分钟车程;也有专门大巴到达清泉城｡",,,,,,
"清远恒大五房温泉豪华大别墅近新银盏温泉古龙峡玻璃大峡谷,配日式温泉池､KTV设备､烧烤炉､电动麻将桌","https://www.airbnb.cn/rooms/25966570?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,3个卫生间,7张床,5间卧室,最多住12人,1000,13,"*别墅位于清远市恒大世纪旅游城内,距离新银盏温泉20-30分钟车程､古龙峡玻璃大峡谷+国际赛道漂流､黄腾峡漂流15-30分钟车程,清远市区20分钟的车程,广州市60分钟车程,深圳市120分钟车程!
*五房七床+沙发床270平方豪华大别墅!重金豪华欧式装修,配日式温泉池､KTV设备､烧烤炉､电动麻将桌､厨房用具､名牌家私电器､2台大电视､免费WIFI一应俱全!免费停车!全部使用标准一次性洗漱用品!毛巾､床品一客一换!专属管家服务,专职阿姨清洁卫生!
*交通:别墅区内有穿梭巴士,每天有楼巴往返广州市区越秀公园､清远市区清新体育馆,门口有公交车抵达清远市区!
*美食:清远恒大小区内有开心农场､恒大酒店自助餐､美食中心东南西北各大美食;附近有田美农庄等各种农家菜｡
*超市､市场:华润万家､美宜佳､购买烧烤食材的农贸市场｡
*休闲娱乐:小区内清远恒大会议､饮食､娱乐､运动､健康､商业六大中心,运动中心有真人CS对抗赛､恒温游泳池､桑拿房､健身房､单车､足球场､篮球场､网球场､羽毛球､乒乓球等运动设施｡小区内有人工湖碰碰电动船;山顶公园､儿童滑滑梯､松鼠营､假山瀑布免费游玩｡娱乐中心有各种儿童设施","*别墅位于风景优美的清远市恒大世纪旅游城内,距离新银盏温泉20-30分钟车程､古龙峡玻璃大峡谷+国际赛道漂流､清泉湾玻璃漂流+水上乐园､龙腾峡漂流15分钟左右车程,黄腾峡漂流20-30分钟车程,清远市区20分钟的车程,广州市60分钟车程,深圳市120分钟车程!
*别墅周围绿树成荫､有人工湖泊,区内治安好,保安24小时巡视,山清水秀､林语花香､湖光山色､享大自然的负离子,远离都市喧嚣,享受这份独特的尘世美,为单位团建､家庭休闲､朋友出游的好去处!","别墅区内有穿梭巴士到恒大会议中心,每天有楼巴从恒大会议中心往返广州市区越秀公园､清远市区清新体育馆,门口有公交车抵达古龙峡､清远市区,交通便利!别墅区内停车免费,可停多辆车!",,,,
清远恒大好自然2号别墅,"https://www.airbnb.cn/rooms/25991767?s=lL8DwLxp&guests=1&adults=1
",整套房子,3个卫生间,6张床,4间卧室,最多住8人,1180,1,"别墅位于清连高速龙颈出口一公里附近,毗邻恒大足球学校,古龙峡,龙腾峡,清泉湾…
房屋装修简约干净舒适","小区内有多个公园,景色宜人,并配有儿童活动区,方便带孩子的朋友,附近有超市和农贸市场,各种可品尝当地特色美食的农庄…一定让你有不一样的旅行体验","清连高速龙颈出囗一公里左右
市区312路公交车途经恒大门口
小区每天有楼巴往返清新体育馆和广州以泰广场",,,,
清远恒大好自然1号别墅,"https://www.airbnb.cn/rooms/25992835?s=lL8DwLxp&guests=1&adults=1
",整套房子,3个卫生间,14张床,8间卧室,16位及更多房客,1880,3,"好自然度假别墅位于漂流之乡清远市清连高速龙颈出口一公里左右的恒大世纪生态城内,毗邻恒大足球学校,古龙峡,清泉湾,龙腾峡等漂流胜地
别墅装修风格简约,干净舒适,釆光极佳,周边环境优美,鸟语花香,夜晚更可享受整个社区的静谧","别墅距离漂流各景点仅十多分钟车程,毗邻恒大足球学校,周边有超市,饮食中心和可品尝各种当地美食的农庄,一定让您感受不一样的旅行体验","公共出行:市区312路公交车每40分钟一班经小区门口(恒大金碧天下站点)
小区有楼巴往返清新体育馆和广州以泰广场
自驾:清连高速龙颈出口右转1公里左右",,,,
涯际Cliff Haus - Camping Rock climbing paradise,"https://www.airbnb.cn/rooms/26015976?s=lL8DwLxp&guests=1&adults=1
",露营地,8个卫生间,30张床,30间卧室,16位及更多房客,88,0,"涯际 Cliff Haus 是一个国际户外露营基地,提供帐篷住宿,洗浴,有机饭菜及极限活动等｡
Cliff Haus is an outdoor social enterprise. We provide camping supplies, hot showers, orangic meals, and extereme sports","2k to the town to get food
Campsite supply food as well. Please let the manager own ahead of time of your needs.",Bike around is the best way.,,,,
清远恒大养生谷度假房,"https://www.airbnb.cn/rooms/26218517?s=lL8DwLxp&guests=1&adults=1
",整套公寓,1间卫生间,2张床,2间卧室,最多住4人,288,5,"该房屋位于广东省后花园清远市,离飞来峡,古龙峡风景区都不远,与恒大足球学校比邻｡交通方便,环境优美,天然氧吧,非常适合休闲度假养生｡房子是整套出租的,有密码锁非常安全｡所有的床品都是新的｡可以住4个人,两间房都是大床,装修也都是新的",清远恒大酒店,免费的小区区间车和往返广州市中区的班车,,,,
途民•度假别墅★佛冈碧桂园清泉城|羊角山森林闲情山水旅游经济圈 •4房7床别墅|享养生温泉【159】,"https://www.airbnb.cn/rooms/26264069?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,4个卫生间,7张床,4间卧室,最多住10人,1180,0,"【15-9】(4房7床)别墅

【配套】:150寸超清专业独立KTV房､自动麻将,私家温泉池､乒乓球桌､私家花园､全屋光纤,功夫茶具,电烧烤炉(禁止炭烧),厨房厨具,大冰箱｡

【床位】:1楼1间1.2双床房,3楼1间1.2床双床房,1间1.8大床房和1间1.5双床房(这两间为联通房)","碧桂园•清泉城坐落于佛冈之“三大旅游经济圈”中的“羊角山森林闲情山水旅游经济圈”,山水环境得天独厚,背靠3万亩羊角山森林国家公园,空气质量8倍优于广州(PM2.5仅0.002,负氧离子浓度高达31500个/cm³),内部餐饮商超等生活设施配套齐全,经由京珠高速至广州市区仅需1小时车程｡","位于碧桂园云泉谷,自驾5分钟能达森波拉奇妙世界｡30分钟能达观音山王山寺｡ 

导航搜索地点:碧桂园清泉城
 地址:清远市佛冈县碧桂园清泉城温泉度假别墅 
从广州出发: 华南快速干线￫京珠高速￫佛冈出口￫碧桂园清泉城 另:从广州天河有清泉城楼巴往返 从深圳出发: 深圳市区￫广深高速￫北二环￫京珠高速￫佛冈出口￫碧桂园清泉城 公交客运班车搭乘路线: 从本城市坐客运大巴到佛冈客运站,佛冈客运站离清泉城距离6.4公里,搭出租车大约20元｡ 从佛冈银座有往返碧桂园清泉城的交通车｡碧桂园清泉城距离京珠高速出口5公里,距离广州市中心1小时车程",,,,
途民•度假别墅★佛冈碧桂园清泉城|羊角山森林闲情山水旅游圈 •6房11床泳池别墅享养生温泉【186】,"https://www.airbnb.cn/rooms/26281164?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,4个卫生间,11张床,6间卧室,16位及更多房客,1580,0,"(6房11床)别墅

【配套】200寸超清专业独立KTV房,2台自动麻将,乒乓球桌,桌球桌,200平方私家花园,2个私家温泉池,全屋光纤,电烧烤炉(禁止炭烧),功夫茶具,厨房厨具,大冰箱

【床位】:1楼1间1.5大床房,3楼1间1.5双床房和1.2双床房(这两间为联通房),4楼2间1.5双床房,1间1.2双床房｡","碧桂园•清泉城坐落于佛冈之“三大旅游经济圈”中的“羊角山森林闲情山水旅游经济圈”,山水环境得天独厚,背靠3万亩羊角山森林国家公园,空气质量8倍优于广州(PM2.5仅0.002,负氧离子浓度高达31500个/cm³),内部餐饮商超等生活设施配套齐全,经由京珠高速至广州市区仅需1小时车程｡","位于碧桂园云泉谷,自驾5分钟能达森波拉奇妙世界｡30分钟能达观音山王山寺｡
 导航搜索地点:碧桂园清泉城 地址:清远市佛冈县碧桂园清泉城温泉度假别墅 
从广州出发: 华南快速干线￫京珠高速￫佛冈出口￫碧桂园清泉城 另:从广州天河有清泉城楼巴往返 从深圳出发: 深圳市区￫广深高速￫北二环￫京珠高速￫佛冈出口￫碧桂园清泉城 公交客运班车搭乘路线: 从本城市坐客运大巴到佛冈客运站,佛冈客运站离清泉城距离6.4公里,搭出租车大约20元｡ 从佛冈银座有往返碧桂园清泉城的交通车｡碧桂园清泉城距离京珠高速出口5公里,距离广州市中心1小时车程",,,,
途民•度假别墅★佛冈碧桂园清泉城|羊角山森林闲情山水旅游圈 •7房12床别墅|享养生温泉【1514】,"https://www.airbnb.cn/rooms/26342420?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,4个卫生间,12张床,7间卧室,16位及更多房客,1680,1,"(7房12床)
【配套】200寸超清专业独立KTV房,2台自动麻将,乒乓球桌,桌球桌,私家花园,饭厅,吧台,电烧烤炉(禁止炭烧),私家温泉,全屋光钎,功夫茶具,厨房厨具,大冰箱
【床位】:2楼1间1.5双床房和1间1.8大床房(这两间为联通房),3楼1间1.5双床房和1间1.2双床房(这两间为联通房),4楼1间1.2双床房,1间1.5双床房,1间1.8大床房｡",,"位于碧桂园云泉谷,自驾5分钟能达森波拉奇妙世界｡30分钟能达观音山王山寺｡ 导航搜索地点:碧桂园清泉城 地址:清远市佛冈县碧桂园清泉城温泉度假别墅 从广州出发: 华南快速干线￫京珠高速￫佛冈出口￫碧桂园清泉城 另:从广州天河有清泉城楼巴往返 从深圳出发: 深圳市区￫广深高速￫北二环￫京珠高速￫佛冈出口￫碧桂园清泉城 公交客运班车搭乘路线: 从本城市坐客运大巴到佛冈客运站,佛冈客运站离清泉城距离6.4公里,搭出租车大约20元｡ 从佛冈银座有往返碧桂园清泉城的交通车｡碧桂园清泉城距离京珠高速出口5公里,距离广州市中心1小时车程",,,,
岭下乡村民宿,"https://www.airbnb.cn/rooms/26608692?s=lL8DwLxp&guests=1&adults=1
",整套公寓,1间卫生间,7张床,4间卧室,最多住12人,492,1,,,,,,,
山居小院2,"https://www.airbnb.cn/rooms/26657498?s=lL8DwLxp&guests=1&adults=1
",农家房,1间卫生间,2张床,2间卧室,最多住4人,266,15,"此房源是用老泥砖房改建的,全部用原木装修环保健康,房间干净整洁,房内设有可以泡功夫茶茶具,房源附近是罗坑湖和罗坑大草原,方圆一公里内可到大岩洞,书房岩探险","山居小院位于黄屋村内,是一个客家人均为黄家姓的村落,村是被罗坑湖､大草原､茶园包围,环境优美",自驾游的有免费停车位提供,,,,
英德市区花园小区豪华沿河双人套房 风景优美 交通便利,"https://www.airbnb.cn/rooms/26829313?s=lL8DwLxp&guests=1&adults=1
",整套公寓,2个卫生间,2张床,2间卧室,最多住4人,580,2,,,,,,,
清泉城独栋别墅里面有温泉,"https://www.airbnb.cn/rooms/26889719?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,3个卫生间,7张床,4间卧室,最多住10人,1680,0,"HeIIo,我是小雪,80后的小房东｡爱逛街,打麻将和旅游｡我也去过很多地方,也遇见过很有趣的朋友｡期待世界各地的朋友来我家住,和我分享你们的旅行故事和欢乐时光,也希望能遇到和我一样热爱生活的伙伴｡",,,,,,
摘星楼,"https://www.airbnb.cn/rooms/26912687?s=lL8DwLxp&guests=1&adults=1
",整套公寓,1间卫生间,2张床,2间卧室,最多住4人,200,0,,,,,,,
清远佛冈碧桂园东南亚风4房温泉别墅梵蒂冈之家(配麻将､烧烤和KTV)2-52,"https://www.airbnb.cn/rooms/27185169?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,3个卫生间,6张床,4间卧室,最多住11人,699,0,"走京广澳高速,佛冈出口后五公里直达,有管家指引进入｡酒店依山傍水,周边有温泉､漂流､英伦小镇和农庄等旅游景点,五分钟可到达森波拉温泉和森波拉奇妙世界,稍远点有聚龙湾温泉和金龟池温泉,碧桂园内有温泉谷｡别墅附近还有超市､商业街､购物广场和医院｡别墅配有私人温泉池､麻将､电烧烤炉和KTV｡厨房可供使用,有厨具(需自备碗筷和调料);管家提供配送服务｡",,,,,,
市区高档住宅小区江边温馨2房整租,"https://www.airbnb.cn/rooms/27220487?s=lL8DwLxp&guests=1&adults=1
",整套公寓,1间卫生间,2张床,2间卧室,最多住4人,338,1,,,,,,,
乡音民宿,"https://www.airbnb.cn/rooms/27247992?s=lL8DwLxp&guests=1&adults=1
",住宿加早餐里的独立房间,1个独立卫生间,1张床,单间公寓,最多住2人,188,0,,,,,,,
英德连江口江湾假日酒店 江湾3室2厅温泉入户整套租,"https://www.airbnb.cn/rooms/27408697?s=lL8DwLxp&guests=1&adults=1
",整套房子,2个卫生间,6张床,3间卧室,最多住6人,998,0,"不同于传统的饭店旅馆,也许没有高级奢华的设施,但它能让人体验当地风情､感受民宿主人的热情与服务､并体验有别于以往的生活",,,,,,
乡音民宿,"https://www.airbnb.cn/rooms/27447996?s=lL8DwLxp&guests=1&adults=1
",整套酒店式公寓,1间卫生间,2张床,2间卧室,最多住4人,238,0,,,,,,,
英德市区高端时尚公寓,"https://www.airbnb.cn/rooms/27470284?s=lL8DwLxp&guests=1&adults=1
",整套公寓,1间卫生间,1张床,1间卧室,最多住2人,688,1,"高级,前卫,时尚","位于英德市城市主干道,城市的中心,吃饭购物逛街非常方便",广州南站坐高铁到英德西站,,,,
恒大世纪旅游城球星之家民宿,"https://www.airbnb.cn/rooms/27617469?s=lL8DwLxp&guests=1&adults=1
",整套公寓,1间卫生间,1张床,单间公寓,最多住2人,168,0,"环境优美､房间干净整洁!美丽的恒大世纪旅游城位于广州北部清远市清新县龙颈镇,坐拥万亩原生态湖山林谷,令人惊叹的世界级皇家园林,实属漂流运动后的极佳休息之所｡附近2公里有世界吉尼斯纪录的恒大足球学校,9公里有古龙峡漂流､清泉湾生态旅游城､玄真古洞生态区｡楼下有多个便利店,️小区通勤巴士,可以到商业中心､华润超市､饭店､门诊和菜市场,满足您的生活需求｡","美丽的恒大世纪旅游城坐落于广州北部清远市清新区龙颈镇,附近两公里有世界吉尼斯之称的恒大足球学校,9公里有有名的古龙峡漂流､清泉湾生态旅游区,玄真古洞生态区｡门口还多个农家乐｡",,,,,
初识·巴厘岛 清远佛冈鸣泉居温泉度假别墅,"https://www.airbnb.cn/rooms/27672992?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,4个卫生间,6张床,5间卧室,最多住8人,3080,0,"清远佛冈碧桂园清泉城别墅,由碧桂园集团打造的大型度假新城,依山而建､全新装饰而成的私家别墅,最大限度保留了地块原有的地形地貌,四周群山环抱,山色连绵｡别墅依山依势而筑,潺潺溪水蜿蜒其中,家家观景､户户亲水｡","浈阳峡旅游小镇:位于清远英德市连江口镇北,是集旅游､住宿､餐饮､购物､会议､休闲娱乐为一体的多功能休闲度假区｡
观音山王山寺:观音山为广东的八大名山之一,海拔1288米,是著名的佛教名山｡景区还有一系列的旅游项目,如:神仙谷探秘､刺激溯瀑､露营野炊､定向越野､丛林穿越等｡
上岳村:是一个有着720年历史的古村落｡它始建于宋代,于清朝达到鼎盛时期｡村内108座古民居掩卧在桔果树丛中,前塘后山的布局,蕴含着藏风纳水的寓意｡
飞来峡:飞来峡风景区位于清远城上游20多公里的北江河段,是省级风景名胜区和旅游度假区,是道教第十九福地｡","佛冈碧桂园清泉城
广州出发:华南快速干线(或机场高速)---京珠高速(北行)---佛冈出口---右转沿106国道走5公里---碧桂园清泉城
佛山出发:北二环---京珠高速(北行)---佛冈出口---右转沿
106国道走5公里---碧桂园清泉城
东莞深圳出发:广深高速---北二环---京珠高速(北行)---佛冈出口---右转沿106国道走5公里---碧桂园清泉城",,,,
"清远英德浈阳江畔,私家温泉,全江景露台,少爷仔公寓","https://www.airbnb.cn/rooms/27686816?s=lL8DwLxp&guests=1&adults=1
",整套公寓,2个卫生间,5张床,3间卧室,最多住6人,722,0,"公寓座落在北江和连江交汇处,罕有的一线江景小栈｡广州1小时度假圈内,交通十分便利｡","全国特色小镇,天然纯朴,风景怡人｡","自驾,或坐往英德方向的城际巴士,连江口镇政府下,就在对面｡",,,,
